avg_difficulty,avg_completion,recent_pain_count,days_since_last,pain_severity_weight,target_recovery_score
2.7,0.43,0,3,0,0.852
3.05,0.88,0,4,0,0.913
3.46,0.93,0,7,0,0.864
2.65,0.77,0,4,0,0.906
3.12,0.72,0,2,0,0.838
2.74,0.76,0,5,0,0.931
1.3,0.76,1,0,1,0.628
4.93,0.53,1,7,0.6,0.472
3.09,0.44,1,3,1,0.406
2.04,0.8,0,0,0,0.98
4.27,0.76,0,1,0,0.757
4.51,0.79,0,0,0,0.723
4.12,0.68,0,3,0,0.81
4.1,0.69,1,4,0.6,0.483
2.52,0.59,1,0,0.3,0.738
4.15,0.68,0,7,0,0.78
1.08,0.59,0,3,0,1
1.13,0.53,0,5,0,0.961
2.34,0.75,1,5,0.3,0.777
4.05,0.83,0,4,0,0.766
2.11,0.74,0,4,0,0.98
3.83,0.65,0,3,0,0.772
3.13,0.42,2,4,0.3,0.607
3.76,0.89,0,2,0,0.856
4.09,0.72,2,4,1,0.333
1.5,0.94,0,7,0,1
4.7,0.64,0,1,0,0.74
3.21,0.46,1,5,0.6,0.576
3.88,0.84,2,4,0.3,0.63
2.85,0.88,0,0,0,0.93
1.95,0.87,0,1,0,0.961
2.39,0.45,2,4,0.6,0.607
2.38,0.78,0,5,0,0.934
4.31,0.42,0,0,0,0.716
2.34,0.84,0,1,0,0.943
3.12,0.95,0,3,0,0.863
2.98,0.9,0,7,0,0.879
2.13,0.81,0,5,0,0.99
1.48,0.43,1,5,0.3,0.784
2.28,0.74,0,7,0,0.921
3.27,0.49,0,2,0,0.795
3.64,0.75,0,4,0,0.836
4.78,0.46,1,6,0.3,0.55
3.36,0.82,1,7,0.6,0.598
4.43,0.75,1,0,0.3,0.603
2.9,0.57,0,6,0,0.842
2.81,0.81,0,5,0,0.916
1.26,0.69,0,5,0,0.982
1.93,0.85,1,0,0.3,0.839
1.09,0.61,1,3,0.6,0.723
4.22,1,2,4,1,0.384
4.1,0.54,0,1,0,0.743
2.28,0.46,0,7,0,0.902
3.99,0.78,0,1,0,0.8
4.63,0.54,0,0,0,0.745
3.57,0.76,0,0,0,0.831
4.37,0.93,1,7,0.6,0.505
4.79,0.46,0,7,0,0.664
4.1,0.41,1,5,0.6,0.476
2.66,0.53,2,3,0.3,0.632
2.18,0.91,1,5,1,0.523
2.12,0.76,0,2,0,0.981
2.56,0.41,0,2,0,0.852
3.89,0.57,0,4,0,0.758
2.87,0.71,0,7,0,0.902
2.04,0.55,0,7,0,0.939
4.11,0.48,0,1,0,0.768
3.13,0.92,0,3,0,0.908
3.06,0.53,0,6,0,0.878
3.7,0.99,0,5,0,0.834
2.4,0.51,0,0,0,0.918
3.83,0.72,1,2,0.3,0.682
2.83,0.92,0,5,0,0.888
3.88,0.96,0,1,0,0.818
2.52,0.95,1,3,0.3,0.743
2.05,0.54,0,2,0,0.904
2.61,0.71,0,7,0,0.863
1.71,1,0,7,0,1
2.44,0.5,1,1,0.3,0.748
2.56,0.78,1,5,0.6,0.629
3.68,0.43,0,1,0,0.802
1.29,0.45,0,0,0,1
1.76,0.79,0,0,0,0.993
4.77,0.86,0,7,0,0.715
1.71,0.91,0,5,0,0.995
2.34,0.48,1,6,1,0.482
4.19,0.69,1,7,0.3,0.594
2.71,0.46,0,6,0,0.872
1.34,0.69,1,3,1,0.599
1.15,0.62,0,6,0,1
2.39,0.76,0,4,0,0.961
4.11,0.81,0,5,0,0.77
2.59,0.96,1,4,0.6,0.661
4.67,0.41,2,1,0.3,0.501
4.37,0.91,0,1,0,0.816
3.06,0.88,0,4,0,0.897
3.22,0.45,0,1,0,0.824
1.3,0.57,0,5,0,0.989
3.25,0.48,0,5,0,0.825
3.98,0.58,1,6,0.3,0.621
4.98,0.56,1,7,0.3,0.534
2.2,0.63,0,3,0,0.942
3.72,0.8,0,6,0,0.841
2.35,0.47,0,3,0,0.868
3.73,0.77,0,3,0,0.842
1.46,0.82,1,3,0.3,0.858
2.52,0.79,1,4,0.6,0.62
3.97,0.79,0,2,0,0.815
4.83,0.88,0,6,0,0.741
4.22,0.63,1,1,0.6,0.515
4.56,0.71,3,4,0.6,0.347
1.16,0.8,0,4,0,0.99
1.36,0.57,0,2,0,0.967
4.78,1,1,1,0.3,0.59
3.94,0.47,1,6,1,0.349
2.27,0.53,0,4,0,0.935
3.05,0.91,0,5,0,0.887
1.54,0.71,0,5,0,0.957
2.54,0.82,0,1,0,0.898
1.49,0.59,1,3,0.6,0.703
3.61,0.91,0,6,0,0.871
1.06,0.95,0,1,0,1
1.97,0.52,1,3,0.6,0.664
3.99,0.46,1,7,0.6,0.498
4.56,0.49,1,5,1,0.325
1.88,0.44,1,7,0.6,0.678
3.51,0.51,0,1,0,0.798
4.35,0.42,0,4,0,0.728
3.85,0.47,2,2,1,0.334
1.06,0.58,1,5,1,0.622
4.76,0.81,3,5,1,0.277
2.46,0.47,0,6,0,0.859
3.54,0.82,0,1,0,0.82
1.71,0.87,3,0,0.3,0.726
4.18,0.41,0,1,0,0.751
3.68,0.69,2,2,0.3,0.609
4.19,0.79,0,1,0,0.775
4.21,0.42,0,1,0,0.716
3.65,0.54,0,1,0,0.769
3.34,0.8,2,0,0.6,0.57
3.71,0.52,0,3,0,0.808
1.59,0.58,0,4,0,0.931
1.46,0.88,0,2,0,0.998
4.82,0.88,0,5,0,0.769
3.66,0.8,2,0,0.6,0.554
1,0.8,0,2,0,1
4.61,0.85,1,6,0.3,0.588
4.58,0.95,1,6,0.6,0.552
1.51,0.68,0,4,0,0.971
2.59,0.93,0,4,0,0.912
2.18,0.6,0,1,0,0.955
3.13,0.96,0,7,0,0.885
3.96,0.66,0,1,0,0.792
3.22,0.47,3,3,0.6,0.441
1.96,0.88,0,3,0,0.991
4.65,1,0,4,0,0.779
2.42,0.54,0,1,0,0.921
4.19,0.42,2,7,0.3,0.509
4.29,0.89,1,0,0.6,0.506
4.92,0.86,1,6,0.3,0.595
4.72,0.78,0,0,0,0.76
4.04,0.47,0,3,0,0.788
2.69,0.61,0,4,0,0.919
1.94,0.73,1,2,0.3,0.762
3.73,0.94,1,0,0.3,0.699
4.2,0.7,0,2,0,0.749
4.4,0.48,2,5,0.3,0.535
2.29,0.69,0,4,0,0.945
2.93,0.85,1,7,0.6,0.612
1.05,0.55,0,0,0,0.985
1.7,0.58,1,6,0.3,0.82
2.34,0.6,0,5,0,0.922
1.13,0.54,0,3,0,0.968
2.45,0.91,0,2,0,0.899
2.14,0.97,0,3,0,0.981
1.13,0.53,0,3,0,0.997
3.14,0.61,0,4,0,0.868
4.45,0.84,0,6,0,0.752
3.82,0.48,1,2,1,0.345
3.31,0.86,0,6,0,0.884
2.79,0.52,0,6,0,0.865
1.13,0.64,0,1,0,1
4.2,0.64,2,3,0.3,0.558
3.48,0.51,0,3,0,0.778
1.1,0.83,0,3,0,1
3.55,0.55,0,3,0,0.825
4.21,0.7,0,7,0,0.784
1.04,0.55,3,7,0.3,0.789
4.12,0.61,2,6,0.3,0.528
1.81,0.9,0,0,0,1
4.73,0.54,0,5,0,0.706
3.66,0.72,0,0,0,0.798
2.81,0.86,0,0,0,0.884
4.78,0.55,1,4,1,0.296
4.48,0.78,0,2,0,0.799
2.22,0.99,0,5,0,0.959
2.49,0.55,0,4,0,0.879
4.32,0.77,1,6,0.6,0.536
4.99,0.73,1,5,0.3,0.555
4.08,0.79,0,7,0,0.775
2.58,0.63,0,1,0,0.914
3.48,0.95,0,3,0,0.823
2.76,0.53,0,7,0,0.835
4.35,0.96,0,0,0,0.762
1.63,0.56,0,6,0,0.929
1.85,0.85,2,3,0.3,0.808
4.99,0.6,3,7,0.3,0.405
2.08,0.79,0,4,0,0.919
2.48,0.72,0,7,0,0.913
2.82,0.9,0,7,0,0.919
1.08,0.77,0,4,0,1
1.33,0.42,0,0,0,1
3.63,0.52,0,7,0,0.788
2.31,0.74,0,0,0,0.892
2.72,0.62,0,4,0,0.919
2.2,0.91,0,1,0,0.97
2.46,0.65,1,3,0.3,0.725
2,0.74,0,2,0,0.913
1.86,0.42,0,2,0,0.896
2.19,0.6,1,5,0.6,0.64
1.73,0.95,0,6,0,1
2.48,0.46,0,1,0,0.9
1.82,0.72,3,7,0.3,0.693
1.7,0.57,1,4,0.6,0.714
1.53,0.95,0,1,0,1
3.64,0.45,1,2,0.3,0.625
2.34,0.61,2,4,0.6,0.621
2.85,0.55,0,2,0,0.875
1.1,0.82,1,3,0.3,0.918
2.85,0.99,0,4,0,0.906
2.86,0.49,0,4,0,0.823
2.96,0.83,0,7,0,0.851
3.75,0.76,0,3,0,0.789
1.98,0.61,0,4,0,0.964
2.36,0.75,3,1,0.3,0.661
4.33,0.76,0,1,0,0.802
1.31,0.65,0,2,0,0.964
1.34,0.49,0,4,0,0.969
3.7,0.79,0,3,0,0.847
4.58,0.56,0,7,0,0.736
4.12,0.42,1,1,1,0.333
1.38,0.44,0,5,0,0.96
1.34,0.76,0,1,0,1
4.36,0.42,0,4,0,0.72
1.66,0.44,1,4,1,0.529
1.15,0.87,2,0,0.6,0.743
3.92,0.73,0,5,0,0.797
2.62,0.45,1,3,1,0.506
4.87,0.46,0,2,0,0.653
4.88,0.56,1,1,0.6,0.431
1.92,0.88,0,5,0,0.99
3.36,0.75,1,7,1,0.453
3.59,0.49,0,7,0,0.823
3.1,0.67,1,4,0.6,0.586
3.64,0.84,0,7,0,0.819
2.45,0.63,0,5,0,0.921
4.79,0.65,0,3,0,0.718
3.83,0.68,0,4,0,0.777
4.07,0.76,1,5,0.3,0.625
4.78,0.43,0,0,0,0.685
2.48,0.93,1,0,0.6,0.672
4.52,0.62,0,1,0,0.734
3.7,0.59,0,0,0,0.836
2.77,0.66,0,7,0,0.883
2.76,0.64,0,1,0,0.895
1.99,0.41,0,1,0,0.888
2.56,0.91,0,4,0,0.95
3.67,0.59,0,3,0,0.799
1.14,0.43,0,0,0,0.951
2.9,0.91,0,1,0,0.883
2.67,0.61,0,3,0,0.908
3.9,0.49,0,7,0,0.735
3.28,0.97,0,4,0,0.901
2.29,0.73,1,4,1,0.565
4.5,0.96,0,1,0,0.74
2.2,0.88,0,6,0,0.928
1.85,0.43,0,0,0,0.947
3.29,0.45,0,1,0,0.827
3.73,0.84,0,5,0,0.845
4.8,0.47,0,5,0,0.673
2.12,0.99,0,4,0,0.958
2.85,0.5,0,7,0,0.871
1.41,0.94,0,2,0,1
4.97,0.68,2,7,0.3,0.517
4.54,0.89,2,3,0.3,0.569
1.03,0.8,0,5,0,1
3.99,0.5,0,2,0,0.786
3.85,1,0,7,0,0.836
3.83,0.47,0,1,0,0.774
2.67,0.93,1,4,0.3,0.785
1.27,0.87,0,5,0,0.998
1.31,0.93,0,5,0,1
1.55,0.9,0,7,0,0.987
2.71,0.9,0,2,0,0.89
3.62,0.76,0,7,0,0.846
4.11,0.78,2,7,0.6,0.442
2.6,0.56,3,7,0.3,0.588
2.57,0.88,0,3,0,0.91
2.61,0.47,0,0,0,0.891
1.96,0.51,0,3,0,0.934
4.5,0.91,0,3,0,0.761
4.24,0.8,0,1,0,0.802
1.15,0.85,0,1,0,1
1.07,0.75,2,0,0.3,0.847
3.11,0.9,0,0,0,0.899
2.11,0.64,1,0,0.6,0.647
2.54,0.49,0,6,0,0.914
3.17,0.89,0,3,0,0.875
2.01,0.58,0,4,0,0.944
4.17,0.48,0,5,0,0.743
2.95,0.59,0,0,0,0.819
1.26,0.71,0,3,0,1
1.2,0.68,0,2,0,1
3.68,0.75,0,0,0,0.79
2.99,0.55,0,3,0,0.885
2.14,0.91,0,1,0,0.928
3.11,0.95,0,2,0,0.874
3.21,0.98,0,3,0,0.9
2.06,0.75,0,7,0,0.969
2.92,0.52,2,0,0.3,0.652
3.94,0.55,0,1,0,0.813
2.21,0.47,0,3,0,0.868
2.3,0.73,0,5,0,0.962
4.72,0.87,0,6,0,0.717
4.45,0.83,0,0,0,0.758
4.35,0.4,0,5,0,0.695
2.96,0.58,0,2,0,0.862
1.04,0.43,0,3,0,1
1.07,0.43,0,0,0,1
1.61,0.6,2,3,0.6,0.676
4.54,0.99,0,6,0,0.81
4.22,0.94,3,6,0.6,0.474
2.49,0.82,0,0,0,0.946
4.25,1,0,4,0,0.81
4.43,0.54,1,1,1,0.352
4.47,0.95,1,7,0.6,0.518
2.48,0.78,0,2,0,0.901
1.57,0.88,0,2,0,1
2.41,0.59,0,4,0,0.906
4.58,0.77,2,3,0.3,0.506
3.18,0.64,0,7,0,0.878
1.16,0.61,0,4,0,1
4.52,0.72,0,2,0,0.783
1.75,0.7,1,6,0.3,0.784
3.84,0.66,2,6,0.6,0.464
3.27,0.46,0,5,0,0.842
1.56,0.9,0,0,0,0.996
3.83,0.67,0,2,0,0.82
1.16,0.88,0,3,0,1
1.14,0.46,0,0,0,0.983
3.8,0.75,0,4,0,0.832
1.08,0.93,2,2,0.6,0.734
3.63,0.5,0,5,0,0.824
2.04,0.8,1,3,1,0.579
3.36,0.97,1,2,0.6,0.621
4.95,0.97,0,3,0,0.722
1.87,0.93,1,4,0.3,0.855
4.7,0.77,0,1,0,0.774
4.35,0.95,1,6,1,0.408
2.12,0.74,0,4,0,0.981
1.26,0.57,3,3,0.3,0.715
4.79,0.96,0,5,0,0.764
1.31,0.99,0,6,0,1
2.51,0.67,1,2,0.3,0.785
2.32,0.54,0,3,0,0.933
4.62,0.94,0,4,0,0.757
3.75,0.43,0,3,0,0.755
2.41,0.86,0,6,0,0.913
3.51,0.59,0,4,0,0.788
2.7,0.63,1,4,0.3,0.764
2.28,0.42,1,1,0.3,0.715
1.43,0.84,0,7,0,1
4.8,0.63,1,3,0.3,0.525
2.39,0.63,0,2,0,0.883
1.93,0.45,0,1,0,0.889
2.74,0.63,1,3,0.6,0.639
2.94,0.74,0,7,0,0.902
3.02,0.81,0,0,0,0.849
3.44,0.43,0,2,0,0.804
2.3,0.96,0,1,0,0.924
2.08,0.54,0,4,0,0.885
4.02,0.75,0,3,0,0.801
2.49,0.79,1,2,0.3,0.75
3.86,0.64,0,1,0,0.798
1.77,0.76,0,1,0,0.956
4,0.96,0,7,0,0.784
1.01,0.68,2,7,0.3,0.81
2.29,0.49,0,2,0,0.899
4.57,0.8,0,3,0,0.756
4.05,0.85,1,0,0.6,0.578
2.85,0.57,1,4,0.6,0.605
3.5,0.7,0,1,0,0.816
1.17,0.97,0,0,0,1
2.85,0.93,0,5,0,0.87
1.06,0.96,0,3,0,1
4.75,0.65,0,2,0,0.726
2.53,0.61,1,0,0.3,0.774
2.83,0.72,1,0,0.3,0.717
1.59,0.82,1,6,0.6,0.773
2.02,0.47,0,3,0,0.913
1.28,0.73,2,6,0.3,0.784
1.23,0.43,0,7,0,0.98
3.66,0.87,1,5,0.3,0.67
4.37,0.47,2,0,0.3,0.545
4.63,0.58,0,6,0,0.685
4.08,0.48,0,2,0,0.793
1.15,0.7,1,7,0.3,0.822
2.63,0.8,0,4,0,0.945
3.02,0.97,0,2,0,0.859
2.38,0.95,0,1,0,0.969
4.23,0.57,0,0,0,0.794
4.13,0.86,0,4,0,0.822
2.62,0.47,0,6,0,0.881
4.54,0.83,2,5,0.3,0.562
2.4,0.53,0,7,0,0.862
2.14,0.64,0,0,0,0.916
1.91,0.89,3,4,0.3,0.756
1.51,0.71,0,3,0,0.99
2.04,0.84,0,7,0,0.969
4.51,0.71,3,2,0.6,0.404
3.28,0.95,0,7,0,0.858
3.14,0.84,1,6,0.3,0.73
4.73,0.81,0,0,0,0.757
2.7,0.96,0,1,0,0.929
1.03,0.92,0,5,0,1
1.3,0.48,0,2,0,1
1.25,0.9,2,6,0.6,0.706
4.38,0.44,0,5,0,0.726
3.97,0.47,1,0,1,0.332
3.74,0.82,0,0,0,0.862
4.82,0.51,0,6,0,0.7
4.44,0.67,1,3,0.6,0.46
4.72,0.72,1,2,0.3,0.588
3.83,0.49,1,0,0.6,0.506
4.56,0.5,0,5,0,0.755
2.62,0.41,2,2,0.3,0.64
1.5,0.62,1,5,0.6,0.73
1.44,0.71,0,7,0,1
4.69,0.87,0,3,0,0.787
3.99,0.46,1,2,0.3,0.622
1.13,0.74,2,7,0.6,0.721
2.39,0.53,0,7,0,0.93
1.5,0.94,0,7,0,1
4.89,0.84,3,5,0.3,0.48
2.31,0.63,1,7,1,0.509
3.65,0.7,1,7,0.3,0.695
2.35,0.71,0,2,0,0.929
1.71,0.63,0,0,0,0.979
3.68,0.85,0,4,0,0.857
2.12,0.85,0,2,0,0.975
2.93,0.6,0,4,0,0.881
2.86,0.5,0,1,0,0.824
1.59,0.45,0,6,0,0.972
2.74,0.74,0,1,0,0.899
3.07,0.87,0,0,0,0.872
1.25,0.56,0,7,0,1
3.52,0.99,1,6,0.3,0.68
3.27,0.41,0,5,0,0.795
3.31,0.73,1,4,0.3,0.702
3.26,0.45,0,0,0,0.784
3.15,0.5,0,6,0,0.802
1.25,0.64,0,6,0,0.984
2.02,0.49,0,3,0,0.92
4.12,0.97,0,4,0,0.801
4.88,0.45,0,1,0,0.703
2.81,0.73,2,0,1,0.424
2.08,0.57,3,6,0.6,0.528
2.01,0.63,0,6,0,0.903
4.39,0.45,1,4,0.3,0.589
2.92,0.53,0,2,0,0.883
2.39,0.78,0,5,0,0.953
3.22,0.55,2,4,1,0.386
3.19,0.82,0,3,0,0.869
4.03,0.64,0,7,0,0.78
